SPDES_Permit,Zip_Code,Facility_name,plant_type,Ground_Surface,Avg_DH_Flow
NY0000078,14522,GARLOCK SEALING TECHNOLOGIES,Industrial,Surface,0.04
NY0000132,13662,REYNOLDS METALS ST LAWRENCE REDUCTION PLANT,Industrial,Surface,6.88
NY0000167,,RETSOF REALTY STORMWATER OUTFALLS,Industrial,Surface,0.23
NY0000191,13642,DUNN PAPER - NATURAL DAM,Industrial,Surface,0.29
NY0000281,14150,PRAXAIR INC,Industrial,Surface,0.24
NY0000311,14424,PACTIV LLC,Industrial,Surface,0.11
NY0000329,14502,JINDAL FILMS BUS & RESEARCH CENTRE,Industrial,Surface,0.01
NY0000337,14150,PEROXYCHEM LLC,Industrial,Surface,16.3
NY0000345,14105,FMC - AGRICULTURAL PRODUCTS,Industrial,Surface,0.16
NY0000400,14072,LIFE TECHNOLOGIES CORPORATION,Industrial,Surface,0.05
NY0000418,14550,MORTON SALT INC,Industrial,Surface,0.2
NY0000426,14548,SHORTSVILLE PLANT- GREAT LAKES KRAUT CO,Industrial,Surface,0.43
NY0000442,14623,MANITOU CONST CO - JEFFERSON RD FACILITY,Industrial,Surface,
NY0000469,14304,TEXTRON INC - WHEATFIELD,Industrial,Surface,0.2
NY0000493,14519,R E GINNA NUCLEAR POWER PLANT,Industrial,Surface,542.2
NY0000515,13142,FELIX SCHOELLER TECHNICAL PAPERS,Industrial,Surface,1.33
NY0000523,14589,MOTTS LLP,Industrial,Surface,1.4
NY0000540,13662,GM POWERTRAIN - MASSENA PLANT,Industrial,Surface,0.47
NY0000558,14094,GM COMPONENTS HOLDINGS LLC - LOCKPORT,Industrial,Surface,3.9
NY0000566,13206,FORMER IFG FACILITY,Industrial,Surface,0.03
NY0000574,14207,TONAWANDA ENGINE PLANT-GENERAL MOTORS POWERTRAIN,Industrial,Surface,24
NY0000612,14612,R G & E RUSSELL STATION,Industrial,Surface,0.01
NY0000728,13662,ST LAWRENCE POWER PROJECT,Industrial,Surface,0.38
NY0000736,,NYS NIAGARA POWER PROJECT,Industrial,Surface,72.3
NY0000744,14564,VICTOR INSULATORS,Industrial,Surface,0.4
NY0000779,14482,LAPP INSULATORS LLC,Industrial,Surface,0.35
NY0000825,13209,CRUCIBLE INDUSTRIES,Industrial,Surface,0.62
NY0000850,13440,WORTHINGTON STEEL - ROME,Industrial,Surface,0.05
NY0000906,14304,NFB CARBON PRODUCTS LLC,Industrial,Surface,2.57
NY0000957,13601,KNOWLTON TECHNOLOGIES LLC,Industrial,Surface,0.01
NY0000973,14171,WEST VALLEY DEMONSTRATION PROJECT,Industrial,Surface,0.15
NY0001007,14840,PLEASANT VALLEY WINERY,Industrial,Surface,0.11
NY0001015,13093,NINE MILE PT NUCLEAR STATION LLC,Industrial,Surface,396.6
NY0001023,14150,HUNTLEY STEAM GENERATING STATION,Industrial,Surface,863.8
NY0001031,14456,BUCKEYE TERMINALS LLC - GENEVA TERMINAL,Industrial,Surface,0.03
NY0001147,14512,HAZLITT'S RED CAT CELLARS,Industrial,Surface,0.03
NY0001163,13221,CARRIER CORP THOMPSON RD SITE,Industrial,Surface,0.33
NY0001198,14120,OCCIDENTAL DUREZ DIVISION WALCK RD PLANT,Industrial,Surface,0.6
NY0001201,14072,ISLECHEM LLC,Industrial,Surface,0.77
NY0001295,14094,VANDEMARK CHEMICAL INC,Industrial,Surface,
NY0001325,14441,GREENIDGE STATION,Industrial,Surface,190.8
NY0001333,14882,"CAYUGA OPERATING COMPANY, LLC",Industrial,Surface,219
NY0001368,14219,GREAT LAKES INDUSTRIAL DEVELOPMENT LLC,Industrial,Surface,0.12
NY0001406,13165,EVANS CHEMETICS,Industrial,Surface,3.31
NY0001490,13316,INTERNATIONAL WIRE GROUP INC-CAMDEN OPERATIONS,Industrial,Surface,1.37
NY0001538,14606,ROCHESTER WEST TERMINAL,Industrial,Ground,0
