Zip_Code,SPDES_Permit,Street_address,City,State,Country,Latitude,Longitude
11772,NY0208752,387 E MAIN ST,PATCHOGUE,NY,USA,,
13403,NY0218090,9678 RIVER RD,MARCY,NY,USA,43.13,-75.25
,NY0247367,E SIDE WATER SUPPLY,WEBSTER/PENFIELD,NY,USA,,
10512,NY0264041,842 FAIR ST,CARMEL,NY,USA,41.47,-73.64
,NY0266850,ENTIRE WATER DISTRICT WIDE,SUFFOLK,NY,USA,,
12440,NY0272442,186 MOHONK RD,HIGH FALLS,NY,USA,,
14801,NY0020320,FRONT ST,ADDISON,NY,USA,42.11,-77.22
13433,NY0030341,LINCOLN ST,PORT LEYDEN,NY,USA,43.59,-75.34
14855,NY0247251,GRANGE ST,JASPER,NY,USA,42.12,-77.5
12144,NY0205397,RTE 4,DEFREESTVILLE,NY,USA,42.67,-73.69
13069,NY0243931,960 S FIRST ST (CO RTE 57) - W SIDE - S OF ST RTE 481,FULTON,NY,USA,43.31,-76.39
14048,NY0002321,106 POINT DR NORTH,DUNKIRK,NY,USA,42.49,-79.35
12083,NY0268879,ST RTE 32 - IN BRYANTS PLZ,GREENVILLE,NY,USA,42.43,-74.02
12144,NY0026034,80 COLUMBIA TPKE,RENSSELAER,NY,USA,42.63,-73.74
12944,NY0256480,308 TREMBLEAU RD,KEESEVILLE,NY,USA,44.52,-73.41
12543,NY0023272,ST RTE 208 - E SIDE - BETWEEN COUNTRY CLUB DR & ARISTOTLE DR,MAYBROOK,NY,USA,41.5,-74.21
13166,NY0020559,2601 EARL ST,WEEDSPORT,NY,USA,43.05,-76.57
13164,NY0231924,2951 ENERGY DR,WARNERS,NY,USA,43.1,-76.3
10509,NY0062570,SCOTT PL & NOEL CT,BREWSTER,NY,USA,41.41,-73.61
13685,NY0270148,19199 Concrete Dr,Hounsfield,NY,USA,43.96,-75.99
13421,NY0026956,387 HARDEN ST,ONEIDA,NY,USA,43.1,-75.65
14822,NY0269573,ST RTE 70 - N SIDE - S OF CANASERAGA CRK - JUST E OF VILLAGE LINE,CANASERAGA,NY,USA,42.47,-77.77
